team,name,SOG
CTW,Nicole Connery,36
CTW,Sam Faber,26
CTW,Nicole Kosta,36
CTW,Kelly Babstock,52
CTW,Micaela Long,27
CTW,Cydney Roesler,25
NYR,Miye D'Oench,45
NYR,Kaleigh Fratkin,35
NYR,Alexa Gruschow,24
NYR,Ashley Johnston,14
NYR,Milica McMillen,14
NYR,Madison Packer,48
NYR,Michelle Picard,21
NYR,Tatiana Rafter,34
NYR,Rebecca Russo,35
BUF,Harrison Browne,23
BUF,Corinne Buie,41
BUF,Paige Harrington,4
BUF,Emily Janiga,32
BUF,Kourtney Kunichika,23
CTW,Meagan Mangene,17
CTW,Haley Skarupa,76
CTW,Kelli Stack,56
CTW,Dana Trivigno,39
NYR,Kiira Dosdall,20
NYR,Bray Ketchum,26
NYR,Janine Weber,39
BOS,Kacey Bellamy,28
BOS,Alexandra Bender,19
BOS,Blake Bolden,25
BOS,Alex Carpenter,50
BOS,Brianna Decker,86
BOS,Jillian Dempsey,41
BOS,Meghan Duggan,50
BOS,Emily Field,21
BOS,Alyssa Gagliardi,19
BOS,Amanda Pelkey,27
BOS,Jordan Smelker,24
BUF,Megan Bozek,54
BUF,Sarah Casorso,15
BUF,Shiann Darkangelo,65
BUF,Devon Skeats,26
CTW,Shannon Doyle,21
BOS,Rachel Llanes,25
BOS,Gigi Marvin,28
BUF,Jordyn Burns,3
BUF,Emily Pfalzer,25
BUF,Jacquie Greco,7
CTW,Jordan Brickner,15
CTW,Kaliya Johnson,7
BOS,Zoe Hickel,19
CTW,Elena Orlando,6
NYR,Courtney Burke,24
BUF,Kristina Lavoie,3
CTW,Molly Engstrom,7
BUF,Kayla Parsons,1
NYR,Taylor Holze,7
BUF,Kelley Steadman,39
BUF,Ashley Vesci,10
CTW,Ivana Bilic,10
CTW,Meghan Huertas,4
NYR,Morgan Fritz-Ward,13
BOS,Hilary Knight,35
CTW,Juana Baribeau,9
BOS,Kathryn Tomaselli,5
BUF,Lisa Chesson,6
BUF,Anne Schleper,6
NYR,Amanda Kessel,15
NYR,Rebecca Morse,5
NYR,Lauren Wash,2
CTW,Anya Battaglino,3
BOS,Michaela Levine,0
BUF,Morgan Beikirich,0
CTW,Celeste Brown,3
CTW,Zoe Hickel,12
NYR,Gabie Figueroa,2
BOS,Marissa Gedman,2
BOS,Lauren Slebodnick,0
BOS,Denna Laing,0
CTW,Nicole Stock,0
CTW,Lisa Giovanelli,0
NYR,Julia Herr,0
NYR,Sarah Bryant,0
