"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2007-2008",81,3396.38,2301.47,2228.05,73.42,50.81,40.66,39.36,102.53,90.54,11.99,53.11,1.81,1.6,104.35,109.55,-5.2,48.78,1.84,1.94,406,372,-34,7.66,93.29,100.95
"ANA","2008-2009",82,3645.19,2722.13,2621.64,100.49,50.94,44.81,43.15,138.35,123.57,14.78,52.82,2.28,2.03,129.44,123.6,5.84,51.15,2.13,2.03,407,337,-70,8.82,92.1,100.92
"ANA","2009-2010",82,3746.91,2778.85,3073.92,-295.07,47.48,44.5,49.22,137.55,135.02,2.53,50.46,2.2,2.16,126.01,148.35,-22.34,45.93,2.02,2.38,378,351,-27,8.52,92.44,100.96
"ANA","2010-2011",82,3852.9,2672.03,3353.91,-681.88,44.34,41.61,52.23,128.9,147.57,-18.67,46.62,2.01,2.3,117.52,148.63,-31.11,44.16,1.83,2.31,336,309,-27,8.37,91.86,100.22
"ANA","2011-2012",82,3890.68,2947.01,3130.73,-183.72,48.49,45.45,48.28,131.38,147.32,-15.94,47.14,2.03,2.27,128.21,143.27,-15.06,47.23,1.98,2.21,274,260,-14,8.32,91.27,99.59
"ANA","2012-2013",48,2319.8,1715.36,1863.36,-148,47.93,44.37,48.19,86.25,69.77,16.48,55.28,2.23,1.8,78.2,78.3,-0.1,49.97,2.02,2.03,162,137,-25,9.27,92.5,101.77
"ANA","2013-2014",82,3822.9,3076.1,3041.57,34.53,50.28,48.28,47.74,179.29,126.06,53.23,58.72,2.81,1.98,146.89,138.28,8.61,51.51,2.31,2.17,292,293,1,10.45,92.13,102.58
"ANA","2014-2015",82,3902.03,3145.29,3015.54,129.75,51.05,48.36,46.37,149.93,140.28,9.65,51.66,2.31,2.16,142.94,129.48,13.46,52.47,2.2,1.99,263,251,-12,8.95,91.4,100.35
"ANA","2015-2016",82,3882.25,3215.12,2857.24,357.88,52.95,49.69,44.16,123.65,124.58,-0.93,49.81,1.91,1.93,139.92,123.27,16.65,53.16,2.16,1.91,329,272,-57,7.13,91.92,99.05
"ANA","2016-2017",82,3869.85,3073.77,3034.83,38.94,50.32,47.66,47.05,138.61,122.88,15.73,53.01,2.15,1.91,144.78,132.77,12.01,52.16,2.24,2.06,304,275,-29,8.22,92.45,100.66
"ARI","2007-2008",81,3641.48,2793.94,2932.87,-138.93,48.79,46.04,48.32,114.52,127.17,-12.65,47.38,1.89,2.1,119.45,130.56,-11.11,47.78,1.97,2.15,322,317,-5,6.9,92.44,99.34
"ARI","2008-2009",81,3733.4,2685.12,3230.01,-544.89,45.39,43.15,51.91,120.36,150.64,-30.28,44.41,1.93,2.42,111.47,130.46,-18.99,46.08,1.79,2.1,321,351,30,8.02,91.45,99.46
"ARI","2009-2010",82,3697.48,3014.96,2801.94,213.02,51.83,48.92,45.47,140.01,116.01,24,54.69,2.27,1.88,127.8,120.21,7.59,51.53,2.07,1.95,267,269,2,8.28,92.63,100.91
"ARI","2010-2011",82,3863.82,3209.75,3164.89,44.86,50.35,49.84,49.15,146.59,124,22.59,54.17,2.28,1.93,134.45,141.35,-6.9,48.75,2.09,2.19,277,272,-5,8.34,93.02,101.36
"ARI","2011-2012",82,3957.78,3261.5,3283.6,-22.1,49.83,49.44,49.78,150.62,134.66,15.96,52.8,2.28,2.04,143.65,147.19,-3.54,49.39,2.18,2.23,249,242,-7,8.46,92.73,101.18
