"","Team","Season","Season.Type","GP","TOI","CF","CA","CF60","CA60","CF%","CSh%","CSv%","FF","FA","FF60","FA60","FF%","FSh%","FSv%","SF","SA","SF60","SA60","SF%","Sh%","Sv%","xGF","xGA","xGF60","xGA60","xGF%","SCF","SCA","SCF60","SCA60","SCF%","xFSh%","xFSv%","Adj.FSv%","PDO","xPDO","GF","GA","GF60","GA60","GF%","FO%","PENDIFF"
"1","ANA","2016-2017","Regular",25,1157.51,1021,1055,52.92,54.69,49.18,3.72,96.59,756,778,39.19,40.33,49.28,5.03,95.37,544,564,28.2,29.24,49.1,6.99,93.62,46.27,43.03,2.4,2.23,51.81,154,154,7.98,7.98,50,6.12,94.47,0.9,100.6,100.59,38,36,1.97,1.87,51.35,56.22,-1
"2","ARI","2016-2017","Regular",23,1086.62,966,1193,53.34,65.87,44.74,3.93,95.89,719,932,39.7,51.46,43.55,5.29,94.74,528,653,29.15,36.06,44.71,7.2,92.5,38.59,56.74,2.13,3.13,40.48,126,204,6.96,11.26,38.18,5.37,93.91,0.83,99.69,99.28,38,49,2.1,2.71,43.68,48.92,1
"3","BOS","2016-2017","Regular",25,1164.96,1177,998,60.62,51.4,54.11,3.23,96.29,878,730,45.22,37.6,54.6,4.33,94.93,640,532,32.96,27.4,54.61,5.94,93.05,45.48,38.07,2.34,1.96,54.43,137,127,7.06,6.54,51.89,5.18,94.79,0.15,98.98,99.96,38,37,1.96,1.91,50.67,52.33,-21
"4","BUF","2016-2017","Regular",24,1137.96,1005,1044,52.99,55.05,49.05,2.99,96.55,748,800,39.44,42.18,48.32,4.01,95.5,557,574,29.37,30.26,49.25,5.39,93.73,45.23,41.92,2.38,2.21,51.89,153,130,8.07,6.85,54.06,6.05,94.76,0.74,99.11,100.81,30,36,1.58,1.9,45.45,50.34,-4
"5","CAR","2016-2017","Regular",24,1148.69,1094,979,57.14,51.14,52.77,3.47,95.3,790,743,41.26,38.81,51.53,4.81,93.81,568,524,29.67,27.37,52.01,6.69,91.22,51.5,45.17,2.69,2.36,53.28,189,162,9.87,8.46,53.85,6.52,93.92,-0.11,97.91,100.44,38,46,1.98,2.4,45.24,51.25,5
"6","CBJ","2016-2017","Regular",23,1099.49,1067,1040,58.23,56.75,50.64,4.31,96.73,788,759,43,41.42,50.94,5.84,95.52,561,527,30.61,28.76,51.56,8.2,93.55,48.27,47.48,2.63,2.59,50.41,176,163,9.6,8.9,51.92,6.13,93.74,1.78,101.75,99.87,46,34,2.51,1.86,57.5,46.78,10
"7","CGY","2016-2017","Regular",27,1241.57,1132,1135,54.7,54.85,49.93,3.71,95.86,826,857,39.92,41.42,49.08,5.08,94.52,601,594,29.04,28.71,50.29,6.99,92.09,46.44,52.42,2.24,2.53,46.97,152,184,7.35,8.89,45.24,5.62,93.88,0.63,99.08,99.51,42,47,2.03,2.27,47.19,51.12,-2
"8","CHI","2016-2017","Regular",26,1244.08,1121,1098,54.06,52.95,50.52,4.01,97.09,795,848,38.34,40.9,48.39,5.66,96.23,583,632,28.12,30.48,47.98,7.72,94.94,47.45,51.54,2.29,2.49,47.94,165,177,7.96,8.54,48.25,5.97,93.92,2.3,102.66,99.89,45,32,2.17,1.54,58.44,47.82,11
"9","COL","2016-2017","Regular",23,1053.13,933,1000,53.16,56.97,48.27,3.43,95.5,698,733,39.77,41.76,48.78,4.58,93.86,506,553,28.83,31.51,47.78,6.32,91.86,33.99,39.21,1.94,2.23,46.43,100,140,5.7,7.98,41.67,4.87,94.65,-0.79,98.19,99.52,32,45,1.82,2.56,41.56,54.14,-23
"10","DAL","2016-2017","Regular",26,1181.42,1117,1179,56.73,59.88,48.65,3.31,96.1,827,841,42,42.71,49.58,4.47,94.53,586,595,29.76,30.22,49.62,6.31,92.27,47.98,50.28,2.44,2.55,48.83,162,164,8.23,8.33,49.69,5.8,94.02,0.51,98.58,99.82,37,46,1.88,2.34,44.58,49.01,9
"11","DET","2016-2017","Regular",25,1153.15,927,1077,48.23,56.04,46.26,4.42,96.29,715,834,37.2,43.39,46.16,5.73,95.2,529,602,27.52,31.32,46.77,7.75,93.36,40.58,47.31,2.11,2.46,46.17,144,158,7.49,8.22,47.68,5.68,94.33,0.88,101.11,100,41,40,2.13,2.08,50.62,51.49,22
"12","EDM","2016-2017","Regular",26,1234.61,1181,1098,57.39,53.36,51.82,4.49,95.72,895,817,43.5,39.7,52.28,5.92,94.25,661,617,32.12,29.99,51.72,8.02,92.38,54.72,54.39,2.66,2.64,50.15,215,197,10.45,9.57,52.18,6.11,93.34,0.9,100.4,99.46,53,47,2.58,2.28,53,48.65,-1
"13","FLA","2016-2017","Regular",25,1162.31,1059,984,54.67,50.8,51.84,3.31,95.43,790,758,40.78,39.13,51.03,4.43,94.06,556,573,28.7,29.58,49.25,6.29,92.15,41.87,44.89,2.16,2.32,48.26,133,158,6.87,8.16,45.7,5.3,94.08,-0.01,98.44,99.38,35,45,1.81,2.32,43.75,49.02,6
"14","L.A","2016-2017","Regular",24,1132.52,1120,953,59.34,50.49,54.03,3.84,96.12,828,697,43.87,36.93,54.3,5.19,94.69,576,481,30.52,25.48,54.49,7.47,92.31,44.52,40.29,2.36,2.13,52.5,158,140,8.37,7.42,53.02,5.38,94.22,0.47,99.77,99.6,43,37,2.28,1.96,53.75,50.89,-14
"15","MIN","2016-2017","Regular",23,1086,988,1039,54.59,57.4,48.74,4.45,96.92,740,779,40.88,43.04,48.72,5.95,95.89,546,573,30.17,31.66,48.79,8.06,94.42,40.79,37.88,2.25,2.09,51.85,134,112,7.4,6.19,54.47,5.51,95.14,0.75,102.47,100.65,44,32,2.43,1.77,57.89,50.95,7
"16","MTL","2016-2017","Regular",24,1121.47,1115,1098,59.65,58.74,50.38,3.95,96.99,794,787,42.48,42.11,50.22,5.54,95.81,579,586,30.98,31.35,49.7,7.6,94.37,48.1,47.7,2.57,2.55,50.21,173,169,9.26,9.04,50.58,6.06,93.94,1.87,101.97,100,44,33,2.35,1.77,57.14,49.51,6
"17","N.J","2016-2017","Regular",24,1095.96,946,1019,51.79,55.79,48.14,4.12,95.29,737,786,40.35,43.03,48.39,5.29,93.89,545,578,29.84,31.64,48.53,7.16,91.7,40.39,47.31,2.21,2.59,46.05,123,145,6.73,7.94,45.9,5.48,93.98,-0.09,98.85,99.46,39,48,2.14,2.63,44.83,51.03,4
"18","NSH","2016-2017","Regular",23,1074.47,1060,1003,59.19,56.01,51.38,4.34,96.11,784,754,43.78,42.1,50.98,5.87,94.83,560,540,31.27,30.15,50.91,8.21,92.78,46.09,42.16,2.57,2.35,52.22,155,133,8.66,7.43,53.82,5.88,94.41,0.42,100.99,100.29,46,39,2.57,2.18,54.12,49.21,10
