"","Player","Date","Team","Position","TOI","CF","CA","OCF","OCA","CF60","CA60","CF%","OCF%","Rel.CF%","C+/-"
"1","ERIC.FEHR","2016-11-19","PIT","R",6.48,6.34,8.3,57.91,22.78,58.67,76.88,43.28,71.77,-28.49,-1.97
"2","ERIC.FEHR","2016-11-18","PIT","R",9.34,11.39,12.94,49.6,23.24,73.16,83.11,46.82,68.09,-21.27,-1.55
"3","ERIC.FEHR","2016-11-16","PIT","R",5.48,2.54,9.55,30.72,32.75,27.78,104.59,20.98,48.4,-27.42,-7.02
"4","ERIC.FEHR","2016-11-12","PIT","R",11.01,4.92,13.04,57.09,43.08,26.81,71.07,27.39,56.99,-29.61,-8.12
"5","ERIC.FEHR","2016-11-10","PIT","R",6.09,11.13,9.76,37.52,52.96,109.65,96.12,53.29,41.47,11.82,1.37
"6","ERIC.FEHR","2016-11-08","PIT","R",8.97,7.13,5.92,38.62,41.45,47.67,39.63,54.61,48.23,6.37,1.2
"7","ERIC.FEHR","2016-11-05","PIT","R",7.5,2.16,4.1,38.75,34.25,17.28,32.76,34.53,53.08,-18.55,-1.94
"8","ERIC.FEHR","2016-11-03","PIT","R",6.83,2.57,4.03,27.03,26.04,22.57,35.39,38.94,50.94,-12,-1.46
"9","ERIC.FEHR","2016-11-02","PIT","R",9.22,2.26,12.09,50.42,27.98,14.74,78.64,15.78,64.31,-48.53,-9.82
"10","ERIC.FEHR","2016-10-29","PIT","R",7.46,9.61,5.47,43.92,59.91,77.28,44,63.72,42.3,21.42,4.14
"11","ERIC.FEHR","2016-10-27","PIT","R",7.64,7.93,6.38,50.85,31.68,62.29,50.07,55.44,61.61,-6.17,1.56
"12","ERIC.FEHR","2016-10-25","PIT","R",7.9,6.76,8.76,37.27,40.53,51.35,66.54,43.56,47.91,-4.35,-2
"13","ERIC.FEHR","2016-10-22","PIT","R",7.06,1.58,9.35,48.83,31.84,13.41,79.48,14.43,60.53,-46.1,-7.77
"14","ERIC.FEHR","2016-10-20","PIT","R",9.49,2.3,19.89,25.94,30.46,14.52,125.74,10.36,45.99,-35.63,-17.59
"15","ERIC.FEHR","2016-10-18","PIT","R",7.1,5.31,7.98,33.69,26.61,44.89,67.42,39.97,55.87,-15.9,-2.67
"16","ERIC.FEHR","2016-10-17","PIT","R",7.09,4.12,2.76,41.17,38.37,34.83,23.33,59.88,51.76,8.12,1.36
"17","ERIC.FEHR","2016-10-15","PIT","R",13,6.7,7.92,36.81,46.38,30.94,36.54,45.85,44.25,1.6,-1.21
"18","ERIC.FEHR","2016-10-13","PIT","R",8.23,7.51,10.38,33.61,41.4,54.76,75.7,41.98,44.81,-2.83,-2.87
"19","ERIC.FEHR","2016-06-12","PIT","R",8.27,7.2,4.19,59.15,47.25,52.26,30.38,63.24,55.6,7.64,3.02
"20","ERIC.FEHR","2016-06-09","PIT","R",6.86,3.59,3.54,48.44,30.69,31.41,31,50.33,61.22,-10.88,0.05
"21","ERIC.FEHR","2016-06-06","PIT","R",8.41,12.19,3.89,41.94,37.65,86.94,27.78,75.78,52.69,23.09,8.29
"22","ERIC.FEHR","2016-06-04","PIT","R",10.71,15.74,9.95,59.73,46.55,88.19,55.77,61.26,56.2,5.06,5.79
"23","ERIC.FEHR","2016-06-01","PIT","R",10.77,9.84,6.77,41.83,45.85,54.81,37.7,59.24,47.71,11.54,3.07
"24","ERIC.FEHR","2016-05-30","PIT","R",8.26,9.91,7.83,48.96,48.82,71.98,56.87,55.86,50.07,5.8,2.08
"25","ERIC.FEHR","2016-05-26","PIT","R",8.41,2.58,9.56,35.91,25.3,18.37,68.21,21.22,58.67,-37.45,-6.98
"26","ERIC.FEHR","2016-05-24","PIT","R",9.59,5.99,7.18,46.7,45.08,37.48,44.95,45.47,50.88,-5.41,-1.19
"27","ERIC.FEHR","2016-05-22","PIT","R",8.62,6.04,4.08,39.77,40.99,42.07,28.39,59.71,49.24,10.46,1.97
"28","ERIC.FEHR","2016-05-20","PIT","R",6.48,1.69,9.15,43.48,25.49,15.63,84.75,15.57,63.04,-47.47,-7.46
"29","ERIC.FEHR","2016-05-18","PIT","R",10.97,8.4,9.15,59.29,36.88,45.97,50.03,47.88,61.65,-13.77,-0.74
"30","ERIC.FEHR","2016-05-16","PIT","R",11.79,15.56,7.83,49.02,38.08,79.2,39.83,66.54,56.28,10.26,7.74
"31","ERIC.FEHR","2016-05-13","PIT","R",8.61,6.7,9.4,32.13,38.42,46.72,65.51,41.63,45.55,-3.92,-2.7
"32","ERIC.FEHR","2016-05-10","PIT","R",14.83,13.78,13.88,65,37.05,55.74,56.15,49.82,63.69,-13.87,-0.1
"33","ERIC.FEHR","2016-05-07","PIT","R",5.87,6.01,6.61,44.11,46.48,61.47,67.53,47.65,48.69,-1.04,-0.59
"34","ERIC.FEHR","2016-05-02","PIT","R",12.14,7.57,17.46,25.75,36.17,37.4,86.29,30.24,41.58,-11.34,-9.89
"35","ERIC.FEHR","2016-04-30","PIT","R",9,10.81,5.7,43.37,34.72,72.07,38.01,65.47,55.54,9.93,5.11
"36","ERIC.FEHR","2016-04-28","PIT","R",9.42,10.38,12.16,60.82,48.85,66.12,77.48,46.04,55.46,-9.41,-1.78
"37","ERIC.FEHR","2016-04-23","PIT","R",9.78,5.38,15.01,39.52,42.15,33.03,92.08,26.4,48.39,-21.99,-9.63
"38","ERIC.FEHR","2016-04-21","PIT","R",7.83,5.73,5.56,45.23,41.99,43.89,42.64,50.72,51.86,-1.14,0.16
"39","ERIC.FEHR","2016-04-19","PIT","R",8.77,17.03,5.65,31.27,33.1,116.48,38.66,75.08,48.58,26.5,11.37
"40","ERIC.FEHR","2016-04-16","PIT","R",9.86,6.47,14.59,29.23,25.29,39.37,88.79,30.72,53.62,-22.9,-8.12
"41","ERIC.FEHR","2016-04-13","PIT","R",12.26,9.99,9.15,30.25,39.93,48.9,44.77,52.2,43.1,9.1,0.84
"42","ERIC.FEHR","2016-04-09","PIT","R",11.02,10.88,16.93,29.6,37.56,59.24,92.16,39.13,44.07,-4.95,-6.05
"43","ERIC.FEHR","2016-04-07","PIT","R",9.72,10.11,9.41,33,25.42,62.41,58.11,51.79,56.49,-4.7,0.7
"44","ERIC.FEHR","2016-04-05","PIT","R",12.02,7.22,7.58,28.97,31.73,36.05,37.86,48.78,47.73,1.05,-0.36
"45","ERIC.FEHR","2016-04-03","PIT","R",14.69,13.51,12.93,55.54,34.52,55.16,52.82,51.08,61.67,-10.58,0.57
"46","ERIC.FEHR","2016-04-02","PIT","R",12.05,11.31,7.54,32.47,30.76,56.32,37.54,60.01,51.36,8.65,3.77
"47","ERIC.FEHR","2016-03-31","PIT","R",11.51,7.02,12.05,35.9,21.8,36.61,62.82,36.82,62.22,-25.4,-5.03
"48","ERIC.FEHR","2016-03-29","PIT","R",7.86,10.31,2.62,44.82,26.68,78.74,19.99,79.76,62.69,17.07,7.7
"49","ERIC.FEHR","2016-03-27","PIT","R",9.56,12.32,10.67,56.85,48.06,77.32,66.94,53.6,54.19,-0.59,1.65
"50","ERIC.FEHR","2016-03-26","PIT","R",9.15,6.04,3.81,41.51,26.5,39.59,24.99,61.3,61.04,0.27,2.23
"51","ERIC.FEHR","2016-03-24","PIT","R",4.34,6.01,3.46,42.71,31.16,83.02,47.77,63.48,57.82,5.66,2.55
"52","ERIC.FEHR","2016-03-20","PIT","R",8.98,9.62,6.6,30.28,30.18,64.3,44.09,59.32,50.09,9.23,3.02
"53","ERIC.FEHR","2016-03-19","PIT","R",9.8,8.69,7.34,50.91,25.61,53.22,44.95,54.21,66.53,-12.32,1.35
"54","ERIC.FEHR","2016-03-17","PIT","R",7.82,5.73,6,49.62,33.51,44,46.02,48.88,59.69,-10.81,-0.26
"55","ERIC.FEHR","2016-03-15","PIT","R",5.54,8.89,0,36.44,38.98,96.32,0,100,48.31,51.69,8.89
"56","ERIC.FEHR","2016-03-13","PIT","R",8.65,6.98,8.05,35.59,32.67,48.42,55.81,46.46,52.14,-5.68,-1.07
"57","ERIC.FEHR","2016-03-11","PIT","R",9.58,7.62,6.06,53.95,26.16,47.73,37.93,55.72,67.35,-11.63,1.56
"58","ERIC.FEHR","2016-02-02","PIT","R",7.75,5.21,3.85,47.17,21.58,40.32,29.81,57.5,68.61,-11.11,1.36
"59","ERIC.FEHR","2016-01-26","PIT","R",11.28,9.88,7.55,42.03,32.53,52.58,40.15,56.7,56.37,0.33,2.34
"60","ERIC.FEHR","2016-01-23","PIT","R",12.06,5.77,11.96,26.97,33.14,28.71,59.49,32.55,44.86,-12.32,-6.19
"61","ERIC.FEHR","2016-01-21","PIT","R",9.23,7,11.11,53.72,26.09,45.5,72.21,38.65,67.31,-28.66,-4.11
"62","ERIC.FEHR","2016-01-18","PIT","R",11.27,7.93,4.76,42.08,27.37,42.21,25.34,62.49,60.59,1.9,3.17
