"","Player","Date","Team","TOI","CA","GA","xGA","FA","CA60","CSv%","FA60","FSv%","xGA60","xFSv%","Adj.FSv%"
"1","BRADEN.HOLTBY","2017-05-03","WSH",6.63,10,1,0.58,5,90.5,90,45.25,80,5.27,88.36,-8.36
"2","BRADEN.HOLTBY","2017-05-01","WSH",8.12,14,0,1.5,12,103.45,100,88.67,100,11.1,87.48,12.52
"3","BRADEN.HOLTBY","2017-04-29","WSH",2.17,2,0,0.24,2,55.3,100,55.3,100,6.73,87.83,12.17
"4","BRADEN.HOLTBY","2017-04-27","WSH",4.21,6,0,0.22,5,85.51,100,71.26,100,3.14,95.59,4.41
"5","BRADEN.HOLTBY","2017-04-23","WSH",0.37,1,0,0.09,1,162.16,100,162.16,100,14.7,90.94,9.06
"6","BRADEN.HOLTBY","2017-04-19","WSH",3.19,5,1,0.17,3,94.04,80,56.43,66.67,3.18,94.36,-27.69
"7","BRADEN.HOLTBY","2017-04-17","WSH",6.2,10,1,1.12,9,96.77,90,87.1,88.89,10.83,87.56,1.33
"8","BRADEN.HOLTBY","2017-04-15","WSH",8.57,16,1,0.74,11,112.02,93.75,77.01,90.91,5.18,93.28,-2.37
"9","BRADEN.HOLTBY","2017-04-13","WSH",2.03,0,0,0,0,0,NA,0,NA,0,NA,NA
"10","BRIAN.ELLIOTT","2017-04-17","CGY",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"11","BRIAN.ELLIOTT","2017-04-15","CGY",7.35,12,1,0.58,9,97.96,91.67,73.47,88.89,4.76,93.53,-4.64
"12","BRIAN.ELLIOTT","2017-04-13","CGY",11.37,23,2,1.66,15,121.37,91.3,79.16,86.67,8.75,88.94,-2.27
"13","CAM.TALBOT","2017-05-05","EDM",8.51,18,0,1.16,12,126.91,100,84.61,100,8.15,90.37,9.63
"14","CAM.TALBOT","2017-05-03","EDM",9.32,13,0,1.3,11,83.69,100,70.82,100,8.4,88.14,11.86
"15","CAM.TALBOT","2017-04-30","EDM",6.35,13,0,0.93,9,122.83,100,85.04,100,8.78,89.68,10.32
"16","CAM.TALBOT","2017-04-28","EDM",7.35,18,1,1.39,14,146.94,94.44,114.29,92.86,11.36,90.06,2.8
"17","CAM.TALBOT","2017-04-26","EDM",3.05,9,1,0.57,8,177.05,88.89,157.38,87.5,11.29,92.83,-5.33
"18","CAM.TALBOT","2017-04-22","EDM",6.93,11,0,0.58,10,95.24,100,86.58,100,5.04,94.18,5.82
"19","CAM.TALBOT","2017-04-20","EDM",2.03,2,0,0,0,59.11,100,0,NA,0,NA,NA
"20","CAM.TALBOT","2017-04-18","EDM",1.87,3,2,0.46,3,96.26,33.33,96.26,33.33,14.79,84.63,-51.3
"21","CAM.TALBOT","2017-04-16","EDM",3.83,3,0,0.1,2,47,100,31.33,100,1.6,94.91,5.09
"22","CAM.TALBOT","2017-04-14","EDM",12.93,12,0,0.42,6,55.68,100,27.84,100,1.94,93.03,6.97
