"","Player","Season","Season.Type","Team","GP","TOI","CA","CSv%","FA","FSv%","SA","Sv%","xGA","xFSv%","Adj.FSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GA","Avg.DISTA","RBA","RSA","Marek","Marek%"
"1","BRADEN.HOLTBY","2016-2017","Playoffs","WSH",4,19.99,31,90.32,23,86.96,18,83.33,2.03,91.18,-4.23,6,1,83.33,8,1,87.5,4,1,75,-1.43,3,20.68,2,0,5,21.74
"2","BRIAN.ELLIOTT","2016-2017","Playoffs","CGY",4,18.72,35,91.43,24,87.5,16,81.25,2.24,90.66,-3.16,2,2,0,5,0,100,9,1,88.89,-0.75,3,0.79,0,1,8,33.33
"3","CAM.TALBOT","2016-2017","Playoffs","EDM",5,33.34,51,94.12,33,90.91,21,85.71,2.98,90.96,-0.05,3,0,100,10,0,100,8,3,62.5,-0.54,3,27.24,2,4,12,36.36
"4","CAREY.PRICE","2016-2017","Playoffs","MTL",5,25.83,28,100,20,100,15,100,1.5,92.48,7.52,2,0,100,9,0,100,4,0,100,1.55,0,28.74,0,0,5,25
"5","CHAD.JOHNSON","2016-2017","Playoffs","CGY",1,4.68,3,100,3,100,2,100,0.38,87.34,12.66,0,0,NA,0,0,NA,2,0,100,0.4,0,26.11,0,0,1,33.33
"6","COREY.CRAWFORD","2016-2017","Playoffs","CHI",4,14.73,20,95,11,90.91,8,87.5,0.83,92.46,-1.55,0,0,NA,7,1,85.71,1,0,100,-0.25,1,8.33,0,1,3,27.27
"7","CRAIG.ANDERSON","2016-2017","Playoffs","OTT",4,15.2,25,92,17,88.24,8,75,0.98,94.21,-5.97,3,0,100,3,1,66.67,2,1,50,-1.29,2,21.03,0,0,9,52.94
"8","DEVAN.DUBNYK","2016-2017","Playoffs","MIN",4,21.74,37,97.3,32,96.88,23,95.65,2.67,91.66,5.21,5,0,100,13,0,100,5,1,80,1.14,1,14.18,2,0,9,28.12
"9","FREDERIK.ANDERSEN","2016-2017","Playoffs","TOR",4,14.42,24,83.33,18,77.78,14,71.43,1.33,92.59,-14.81,4,0,100,6,2,66.67,4,2,50,-2.63,4,14.96,0,3,4,22.22
"10","HENRIK.LUNDQVIST","2016-2017","Playoffs","NYR",5,31.93,47,93.62,35,91.43,26,88.46,3.47,90.07,1.36,3,0,100,11,1,90.91,12,2,83.33,0.35,3,9.92,4,2,9,25.71
"11","JAKE.ALLEN","2016-2017","Playoffs","STL",4,23.88,28,100,20,100,14,100,1.81,90.93,9.07,4,0,100,5,0,100,5,0,100,1.49,0,26.83,2,0,6,30
"12","JOHN.GIBSON","2016-2017","Playoffs","ANA",4,19.94,38,84.21,33,81.82,25,76,4.39,86.68,-4.86,1,0,100,10,0,100,14,6,57.14,-2.37,6,13.54,2,2,8,24.24
"13","JONATHAN.BERNIER","2016-2017","Playoffs","ANA",1,2.05,2,100,2,100,1,100,0.14,93.04,6.96,0,0,NA,1,0,100,0,0,NA,0.08,0,0,0,0,1,50
"14","LAURENT.BROSSOIT","2016-2017","Playoffs","EDM",1,8.52,17,88.24,9,77.78,7,71.43,1.34,85.15,-7.37,0,0,NA,2,0,100,5,2,60,-0.83,2,10.12,3,0,2,22.22
"15","MARC-ANDRE.FLEURY","2016-2017","Playoffs","PIT",5,20.23,36,94.44,31,93.55,27,92.59,2.79,90.99,2.56,7,1,85.71,10,0,100,10,1,90,0.96,2,21.08,3,0,4,12.9
"16","MARTIN.JONES","2016-2017","Playoffs","S.J",5,25.64,52,96.15,30,93.33,23,91.3,2.44,91.88,1.45,5,0,100,9,1,88.89,9,1,88.89,0.63,2,9.65,0,0,7,23.33
"17","PEKKA.RINNE","2016-2017","Playoffs","NSH",4,15.79,24,91.67,17,88.24,11,81.82,1.11,93.49,-5.25,1,0,100,6,1,83.33,4,1,75,-0.7,2,17.97,0,0,6,35.29
"18","SERGEI.BOBROVSKY","2016-2017","Playoffs","CBJ",5,23.61,52,90.38,40,87.5,27,81.48,5.4,86.51,0.99,3,0,100,12,2,83.33,12,3,75,-1.57,5,14.06,5,0,13,32.5
"19","TUUKKA.RASK","2016-2017","Playoffs","BOS",4,20.55,33,90.91,22,86.36,19,84.21,1.37,93.77,-7.41,6,0,100,6,1,83.33,7,2,71.43,-0.98,3,34.54,1,0,3,13.64
