"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"AARON.DELL","2016-2017","S.J",11,591.89,304,23,92.43,91.51,0.92,98.48,94.39,76.92,2.8
"AARON.DELL","2017-2018","S.J",8,419.7,212,15,92.92,91.58,1.35,100,91.89,79.55,2.86
"ADIN.HILL","2017-2018","ARI",2,117.48,62,6,90.32,87.58,2.74,94.12,95.24,83.33,1.7
"ALEX.AULD","2007-2008","ARI/BOS",19,965.44,464,43,90.73,90.63,0.1,98.37,90.57,81.44,0.47
"ALEX.AULD","2008-2009","OTT",27,1485.63,704,66,90.62,90.98,-0.35,96.94,91.08,80.43,-2.49
"ALEX.AULD","2009-2010","DAL/NYR",16,804.58,383,41,89.3,92.06,-2.77,98.69,85.38,76.27,-10.6
"ALEX.AULD","2010-2011","MTL",11,508.7,251,18,92.83,90.08,2.75,96.2,95.41,84.13,6.89
"ALEX.AULD","2011-2012","OTT",7,332.34,150,15,90,91.67,-1.67,100,89.71,73.33,-2.51
"ALEX.NEDELJKOVIC","2016-2017","CAR",1,29.83,17,0,100,93.29,6.71,100,100,100,1.14
"ALEX.PECHURSKI","2009-2010","PIT",1,35.52,13,1,92.31,90.92,1.38,100,100,50,0.18
"ALEX.SALAK","2009-2010","FLA",2,66.57,40,6,85,89.22,-4.22,87.5,90,75,-1.69
"ALEX.STALOCK","2012-2013","S.J",1,26.25,6,1,83.33,93.67,-10.33,100,66.67,100,-0.62
"ALEX.STALOCK","2013-2014","S.J",16,833,369,30,91.87,92.5,-0.63,97.14,90.84,79.37,-2.34
"ALEX.STALOCK","2014-2015","S.J",12,686.5,336,34,89.88,90.55,-0.67,100,89.63,77.53,-2.24
"ALEX.STALOCK","2015-2016","S.J",6,333.47,164,18,89.02,90.51,-1.49,94.64,95.16,73.91,-2.44
"ALEX.STALOCK","2016-2017","MIN",1,58.91,35,2,94.29,90.83,3.46,100,92.86,88.89,1.21
"ALEX.STALOCK","2017-2018","MIN",11,619.02,361,33,90.86,91.62,-0.76,96.92,90.62,80.28,-2.74
"ALLEN.YORK","2011-2012","CBJ",5,215.52,111,11,90.09,92.93,-2.84,97.96,95.35,57.89,-3.15
"AL.MONTOYA","2008-2009","ARI",3,179.72,96,7,92.71,91.94,0.77,100,93.62,69.23,0.74
"AL.MONTOYA","2010-2011","NYI",7,387.97,226,21,90.71,90.19,0.51,97.53,93.1,77.59,1.16
"AL.MONTOYA","2011-2012","NYI",16,857.56,438,45,89.73,91.34,-1.62,97.77,88.82,77.57,-7.09
"AL.MONTOYA","2012-2013","WPG",4,215.28,116,8,93.1,92.29,0.81,100,91.89,81.48,0.94
"AL.MONTOYA","2013-2014","WPG",16,944.15,470,39,91.7,91.84,-0.14,96.77,90.67,82.52,-0.66
"AL.MONTOYA","2014-2015","FLA",11,534.01,248,27,89.11,90.65,-1.53,94.85,88.51,81.25,-3.8
"AL.MONTOYA","2015-2016","FLA",15,827.11,381,33,91.34,91.33,0.01,99.35,89.29,80.46,0.04
"AL.MONTOYA","2016-2017","MTL",14,846.19,439,45,89.75,90.92,-1.18,96.67,90.79,76.64,-5.16
"AL.MONTOYA","2017-2018","MTL",4,222.52,102,14,86.27,89.02,-2.75,97.5,84.62,75,-2.8
"ANDERS.LINDBACK","2010-2011","NSH",13,729.9,382,36,90.58,91.93,-1.35,99.28,88.27,78.12,-5.16
"ANDERS.LINDBACK","2011-2012","NSH",11,574.5,289,23,92.04,90.47,1.57,96.49,91.49,86.42,4.53
"ANDERS.LINDBACK","2012-2013","T.B",11,524.95,264,29,89.02,89.93,-0.92,97.67,92,75.64,-2.42
"ANDERS.LINDBACK","2013-2014","T.B",13,746.39,331,38,88.52,91.17,-2.65,98.33,92.91,62.86,-8.77
"ANDERS.LINDBACK","2014-2015","DAL/BUF",14,742.48,433,40,90.76,91.81,-1.05,97.04,93.3,72.94,-4.53
"ANDERS.LINDBACK","2015-2016","ARI",9,482.3,264,24,90.91,91.2,-0.29,98.11,94.68,73.44,-0.76
"ANDERS.NILSSON","2011-2012","NYI",1,59.76,36,5,86.11,89.42,-3.31,77.78,94.74,75,-1.19
"ANDERS.NILSSON","2013-2014","NYI",10,588.53,294,31,89.46,91.17,-1.72,99.12,93.91,65.15,-5.05
"ANDERS.NILSSON","2015-2016","EDM/STL",17,866.53,462,47,89.83,90.79,-0.96,95.56,88.55,82.76,-4.44
"ANDERS.NILSSON","2016-2017","BUF",15,859.79,486,43,91.15,90.48,0.67,98.83,91.8,80.3,3.25
"ANDERS.NILSSON","2017-2018","VAN",8,430.15,257,19,92.61,90.28,2.33,98.13,93.26,81.97,5.98
"ANDREI.VASILEVSKIY","2014-2015","T.B",8,475.93,221,21,90.5,90.89,-0.39,94.74,86.87,91.3,-0.86
"ANDREI.VASILEVSKIY","2015-2016","T.B",16,775.17,395,35,91.14,91.55,-0.41,95.06,91.24,84.38,-1.61
"ANDREI.VASILEVSKIY","2016-2017","T.B",22,1239.66,658,50,92.4,91.38,1.02,97.74,92.05,83.66,6.73
"ANDREI.VASILEVSKIY","2017-2018","T.B",16,958.17,535,26,95.14,91.71,3.43,99.53,94.52,87.38,18.37
"ANDREW.HAMMOND","2014-2015","OTT",12,738.44,380,13,96.58,91.81,4.77,98.7,96.55,92.59,18.14
"ANDREW.HAMMOND","2015-2016","OTT",13,767.98,420,32,92.38,91.62,0.76,98.73,93.89,77.11,3.19
"ANDREW.HAMMOND","2016-2017","OTT",5,129.4,51,7,86.27,89.63,-3.35,89.47,86.67,82.35,-1.71
"ANDREW.RAYCROFT","2007-2008","TOR",10,469.02,243,30,87.65,90,-2.35,97.53,91.35,67.24,-5.71
"ANDREW.RAYCROFT","2008-2009","COL",15,844.81,428,43,89.95,91.48,-1.53,98.1,91.41,68.06,-6.55
"ANDREW.RAYCROFT","2009-2010","VAN",16,730.43,346,36,89.6,91.24,-1.65,95.35,93.4,69.84,-5.7
"ANDREW.RAYCROFT","2010-2011","DAL",14,623.87,335,38,88.66,91.39,-2.74,96.83,89.51,71.21,-9.17
"ANDREW.RAYCROFT","2011-2012","DAL",7,350.63,203,20,90.15,91.64,-1.49,93.68,98.51,68.29,-3.02
"ANDREY.MAKAROV","2014-2015","BUF",1,60,36,3,91.67,89.86,1.81,100,86.67,91.67,0.65
"ANTERO.NIITTYMAKI","2007-2008","PHI",16,836.11,474,33,93.04,91.07,1.97,98.46,91.98,87.8,9.33
"ANTERO.NIITTYMAKI","2008-2009","PHI",20,1175.17,616,44,92.86,91.43,1.43,98.62,92.47,82.08,8.81
"ANTERO.NIITTYMAKI","2009-2010","T.B",22,1144.67,580,64,88.97,89.84,-0.88,97.04,94.64,70,-5.08
"ANTERO.NIITTYMAKI","2010-2011","S.J",12,688.69,290,33,88.62,90.34,-1.72,97.78,88.64,76.47,-5
"ANTHONY.STOLARZ","2016-2017","PHI",4,198.7,88,7,92.05,91.05,1,100,93.94,77.27,0.88
"ANTOINE.BIBEAU","2016-2017","TOR",1,63.62,27,2,92.59,93.85,-1.26,100,92.31,50,-0.34
"ANTON.FORSBERG","2014-2015","CBJ",2,119.21,75,9,88,87.19,0.81,94.74,93.1,77.78,0.61
"ANTON.FORSBERG","2015-2016","CBJ",2,115.5,60,7,88.33,89.47,-1.13,84.62,92.86,84.21,-0.68
"ANTON.FORSBERG","2016-2017","CBJ",1,58.58,27,4,85.19,92.11,-6.93,100,90,40,-1.87
"ANTON.FORSBERG","2017-2018","CHI",9,399.83,230,26,88.7,89.8,-1.11,97.33,90.7,76.81,-2.55
"ANTON.KHUDOBIN","2010-2011","MIN",2,69.35,37,2,94.59,92.81,1.78,100,94.74,80,0.66
"ANTON.KHUDOBIN","2011-2012","BOS",1,60,45,1,97.78,93.8,3.98,100,93.75,100,1.79
"ANTON.KHUDOBIN","2012-2013","BOS",9,498,228,22,90.35,91.8,-1.45,98.88,89.66,76.92,-3.31
"ANTON.KHUDOBIN","2013-2014","CAR",16,941.43,524,39,92.56,91.94,0.61,97.6,95.31,76.7,3.22
"ANTON.KHUDOBIN","2014-2015","CAR",18,1021.07,474,54,88.61,90.68,-2.07,98.1,91.94,72.31,-9.83
"ANTON.KHUDOBIN","2015-2016","ANA",5,212.8,98,6,93.88,90.8,3.08,97.37,88.57,96,3.02
"ANTON.KHUDOBIN","2016-2017","BOS",7,377.61,175,14,92,90.46,1.54,98.28,95.45,80.39,2.69
