"","Player","Season","Season.Type","Position","Team","GP","TOI","CF","CA","CF60","CA60","CF%","CSh%","CSv%","FF","FA","FF60","FA60","FF%","FSh%","FSv%","SF","SA","SF60","SA60","SF%","Sh%","Sv%","xGF","xGA","xGF60","xGA60","xGF%","xFSh%","xFSv%","Adj.FSv%","SCF","SCA","SCF60","SCA60","SCF%","PDO","xPDO","GF","GA","GF60","GA60","GF%","FO%","PENDIFF"
"1","AARON.EKBLAD","20142015","Regular","D","FLA",81,1387.63,1301,1117,56.25,48.3,53.8,4.53,96.06,998,873,43.15,37.75,53.34,5.91,94.96,772,630,33.38,27.24,55.06,7.64,93.02,56.18,47.46,2.43,2.05,54.21,5.63,94.56,0.4,153,138,6.62,5.97,52.58,100.66,100.19,59,44,2.55,1.9,57.28,47.76,26
"2","AARON.EKBLAD","20152016","Regular","D","FLA",78,1294.57,1058,1031,49.04,47.78,50.65,5.29,95.83,843,817,39.07,37.87,50.78,6.64,94.74,620,575,28.74,26.65,51.88,9.03,92.52,47.15,46.72,2.19,2.17,50.23,5.59,94.28,0.46,153,155,7.09,7.18,49.68,101.55,99.87,56,43,2.6,1.99,56.57,50.91,18
"3","AARON.EKBLAD","20162017","Regular","D","FLA",68,1099.08,1083,1004,59.12,54.81,51.89,2.77,95.42,824,796,44.98,43.45,50.86,3.64,94.22,611,580,33.36,31.66,51.3,4.91,92.07,42.92,46.95,2.34,2.56,47.76,5.21,94.1,0.12,115,152,6.28,8.3,43.07,96.98,99.31,30,46,1.64,2.51,39.47,47.1,0
"4","AARON.NESS","20132014","Regular","D","NYI",20,260.94,252,271,57.94,62.31,48.18,1.19,95.2,179,203,41.16,46.68,46.86,1.68,93.6,123,143,28.28,32.88,46.24,2.44,90.91,10.97,11.37,2.52,2.61,49.11,6.13,94.4,-0.8,42,41,9.66,9.43,50.6,93.35,100.53,3,13,0.69,2.99,18.75,44.74,-7
"5","AARON.NESS","20152016","Regular","D","WSH",8,96.35,98,86,61.03,53.55,53.26,6.12,97.67,63,64,39.23,39.85,49.61,9.52,96.88,45,39,28.02,24.29,53.57,13.33,94.87,3.55,3.93,2.21,2.45,47.48,5.64,93.86,3.01,15,15,9.34,9.34,50,108.21,99.5,6,2,3.74,1.25,75,51.61,-3
"6","AARON.ROME","20132014","Regular","D","DAL",25,292.29,275,286,56.45,58.71,49.02,3.64,94.06,192,200,39.41,41.06,48.98,5.21,91.5,132,143,27.1,29.35,48,7.58,88.11,12.68,12.89,2.6,2.65,49.59,6.6,93.55,-2.05,39,44,8.01,9.03,46.99,95.69,100.16,10,17,2.05,3.49,37.04,52.49,2
"7","AARON.VOLPATTI","20132014","Regular","L","WSH",41,297.58,191,293,38.51,59.08,39.46,2.09,97.61,137,208,27.62,41.94,39.71,2.92,96.63,99,152,19.96,30.65,39.44,4.04,95.39,7.01,11.3,1.41,2.28,38.26,5.11,94.57,2.07,19,36,3.83,7.26,34.55,99.44,99.68,4,7,0.81,1.41,36.36,52.21,-8
"8","ADAM.BURISH","20132014","Regular","R","S.J",15,122.89,113,101,55.17,49.31,52.8,1.77,94.06,93,69,45.41,33.69,57.41,2.15,91.3,55,48,26.85,23.44,53.4,3.64,87.5,5.81,3.41,2.84,1.66,63.04,6.25,95.06,-3.76,21,9,10.25,4.39,70,91.14,101.31,2,6,0.98,2.93,25,53.08,3
"9","ADAM.BURISH","20142015","Regular","R","S.J",20,184.51,127,223,41.3,72.52,36.29,2.36,95.96,86,166,27.97,53.98,34.13,3.49,94.58,60,113,19.51,36.75,34.68,5,92.04,4.49,9.84,1.46,3.2,31.32,5.22,94.07,0.51,14,29,4.55,9.43,32.56,97.04,99.29,3,9,0.98,2.93,25,50.87,2
"10","ADAM.CLENDENING","20142015","Regular","D","CHI/VAN",21,287.53,268,270,55.92,56.34,49.81,5.6,95.56,204,202,42.57,42.15,50.25,7.35,94.06,151,150,31.51,31.3,50.17,9.93,92,11.92,13.85,2.49,2.89,46.26,5.84,93.14,0.91,35,41,7.3,8.56,46.05,101.93,98.99,15,12,3.13,2.5,55.56,49.8,-2
"11","ADAM.CLENDENING","20152016","Regular","D","EDM/PIT",29,390.74,365,388,56.05,59.58,48.47,4.93,97.16,272,299,41.77,45.91,47.64,6.62,96.32,199,211,30.56,32.4,48.54,9.05,94.79,16.46,16,2.53,2.46,50.7,6.05,94.65,1.67,58,46,8.91,7.06,55.77,103.83,100.7,18,11,2.76,1.69,62.07,47.31,-2
"12","ADAM.CLENDENING","20162017","Regular","D","NYR",31,431.94,440,340,61.12,47.23,56.41,4.09,95.29,316,255,43.89,35.42,55.34,5.7,93.73,211,178,29.31,24.73,54.24,8.53,91.01,19.19,15.81,2.67,2.2,54.83,6.07,93.8,-0.07,55,43,7.64,5.97,56.12,99.54,99.87,18,16,2.5,2.22,52.94,51.69,-4
"13","ADAM.CRACKNELL","20132014","Regular","R","STL",19,148.59,122,128,49.26,51.69,48.8,4.92,95.31,94,96,37.96,38.76,49.47,6.38,93.75,68,68,27.46,27.46,50,8.82,91.18,4.71,5.9,1.9,2.38,44.39,5.01,93.86,-0.11,17,20,6.86,8.08,45.95,100,98.86,6,6,2.42,2.42,50,45.13,-4
"14","ADAM.CRACKNELL","20142015","Regular","R","CBJ",17,156.58,111,163,42.53,62.46,40.51,0.9,94.48,82,129,31.42,49.43,38.86,1.22,93.02,59,95,22.61,36.4,38.31,1.69,90.53,3.64,7.48,1.39,2.87,32.7,4.43,94.2,-1.18,11,22,4.22,8.43,33.33,92.22,98.63,1,9,0.38,3.45,10,48.67,-6
"15","ADAM.CRACKNELL","20152016","Regular","R","EDM/VAN",52,570.4,469,535,49.33,56.28,46.71,2.35,97.38,342,391,35.97,41.13,46.66,3.22,96.42,245,283,25.77,29.77,46.4,4.49,95.05,19.15,23.63,2.01,2.49,44.76,5.6,93.96,2.46,64,81,6.73,8.52,44.14,99.54,99.55,11,14,1.16,1.47,44,42.16,5
"16","ADAM.CRACKNELL","20162017","Regular","R","DAL",69,663.28,672,646,60.79,58.44,50.99,3.87,96.9,491,453,44.42,40.98,52.01,5.3,95.58,334,312,30.21,28.22,51.7,7.78,93.59,27.51,26.66,2.49,2.41,50.79,5.6,94.12,1.47,83,93,7.51,8.41,47.16,101.37,99.72,26,20,2.35,1.81,56.52,47.95,13
"17","ADAM.ERNE","20162017","Regular","L","T.B",26,272.11,248,240,54.68,52.92,50.82,1.61,95,186,175,41.01,38.59,51.52,2.15,93.14,125,129,27.56,28.44,49.21,3.2,90.7,10.08,8,2.22,1.76,55.76,5.42,95.43,-2.29,31,23,6.84,5.07,57.41,93.9,100.85,4,12,0.88,2.65,25,44.57,11
"18","ADAM.HALL","20132014","Regular","R","PHI",80,520.19,392,496,45.21,57.21,44.14,3.06,94.56,276,361,31.83,41.64,43.33,4.35,92.52,196,266,22.61,30.68,42.42,6.12,89.85,13.47,19.58,1.55,2.26,40.76,4.88,94.58,-2.06,33,55,3.81,6.34,37.5,95.97,99.46,12,27,1.38,3.11,30.77,58.01,-6
"19","ADAM.HENRIQUE","20132014","Regular","C","N.J",77,973.93,836,742,51.5,45.71,52.98,4.07,95.15,615,555,37.89,34.19,52.56,5.53,93.51,419,414,25.81,25.5,50.3,8.11,91.3,40.15,31.93,2.47,1.97,55.7,6.53,94.25,-0.73,148,113,9.12,6.96,56.7,99.42,100.78,34,36,2.09,2.22,48.57,43.03,-7
"20","ADAM.HENRIQUE","20142015","Regular","C","N.J",75,973.37,803,948,49.5,58.44,45.86,4.23,96.31,591,693,36.43,42.72,46.03,5.75,94.95,423,524,26.07,32.3,44.67,8.04,93.32,38.33,41,2.36,2.53,48.32,6.49,94.08,0.87,141,143,8.69,8.81,49.65,101.36,100.57,34,35,2.1,2.16,49.28,48,5
"21","ADAM.HENRIQUE","20152016","Regular","C","N.J",80,1054.33,739,880,42.06,50.08,45.65,6.22,95.8,570,666,32.44,37.9,46.12,8.07,94.44,420,478,23.9,27.2,46.77,10.95,92.26,38.68,37.71,2.2,2.15,50.63,6.79,94.34,0.11,137,128,7.8,7.28,51.7,103.21,101.12,46,37,2.62,2.11,55.42,44.73,-5
"22","ADAM.HENRIQUE","20162017","Regular","C","N.J",81,996.47,852,959,51.3,57.74,47.05,4.23,95.52,639,740,38.48,44.56,46.34,5.63,94.19,458,524,27.58,31.55,46.64,7.86,91.79,39.28,42.68,2.36,2.57,47.92,6.15,94.23,-0.04,132,133,7.95,8.01,49.81,99.65,100.38,36,43,2.17,2.59,45.57,48.66,5
