"","Player","Date","Team","Position","TOI","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF"
"1","ADAM.LARSSON","2017-04-26","EDM","D",17.16,5,4,2,0.22,1,0,0,0,0,3,5,0,0,2,17.48,13.99,6.99,0.76,5.42,3.5,NA,0
"2","ADAM.LARSSON","2017-04-22","EDM","D",20.77,0,0,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,0,NA,0,NA,0
"3","ADAM.LARSSON","2017-04-20","EDM","D",25.58,6,3,2,0.05,0,0,0,0,0,3,1,0,0,2,14.07,7.04,4.69,0.12,1.66,0,NA,0
"4","ADAM.LARSSON","2017-04-18","EDM","D",15.98,2,2,1,0.06,0,0,0,0,0,1,1,0,0,3,7.51,7.51,3.75,0.21,2.85,0,NA,0
"5","ADAM.LARSSON","2017-04-16","EDM","D",18.03,2,1,1,0.01,0,0,0,0,0,0,4,2,0,0,6.66,3.33,3.33,0.04,1.26,0,NA,0
"6","ADAM.LARSSON","2017-04-14","EDM","D",15.73,2,1,1,0.01,0,0,0,1,0,5,2,2,0,0,7.63,3.81,3.81,0.05,1.23,0,NA,-1
"7","ADAM.LARSSON","2017-04-12","EDM","D",16.76,2,1,1,0.02,0,0,0,0,1,7,2,1,0,2,7.16,3.58,3.58,0.08,2.17,0,NA,1
"8","ADAM.MCQUAID","2017-04-15","BOS","D",2.08,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,NA,0
"9","ADAM.MCQUAID","2017-04-12","BOS","D",17.68,3,2,2,0.03,0,0,0,0,0,1,2,0,0,3,10.18,6.79,6.79,0.09,1.4,0,NA,0
"10","ALEX.BURROWS","2017-04-27","OTT","L",10.46,2,1,1,0.07,0,0,0,0,0,4,3,0,0,0,11.47,5.74,5.74,0.4,6.96,0,NA,0
"11","ALEX.BURROWS","2017-04-23","OTT","L",11.84,1,1,1,0.1,1,0,0,0,0,2,0,0,0,0,5.07,5.07,5.07,0.51,10.16,5.07,NA,0
"12","ALEX.BURROWS","2017-04-19","OTT","L",12.78,3,3,3,0.13,0,0,0,1,0,0,0,0,2,2,14.08,14.08,14.08,0.59,4.18,0,NA,-1
"13","ALEX.BURROWS","2017-04-17","OTT","L",11.27,1,1,1,0.03,0,0,0,0,0,1,2,0,0,1,5.32,5.32,5.32,0.17,3.18,0,NA,0
"14","ALEX.BURROWS","2017-04-15","OTT","L",10.54,6,5,2,0.21,1,0,0,0,0,5,0,1,0,1,34.16,28.46,11.39,1.2,4.2,5.69,NA,0
"15","ALEX.BURROWS","2017-04-12","OTT","L",11.1,2,1,1,0.02,0,0,0,0,0,0,0,0,0,1,10.81,5.41,5.41,0.11,2.04,0,NA,0
"16","ALEX.CHIASSON","2017-04-19","CGY","R",11.32,2,1,1,0.12,1,0,0,0,0,3,1,0,1,0,10.6,5.3,5.3,0.65,12.29,5.3,NA,0
"17","ALEX.CHIASSON","2017-04-17","CGY","R",14.42,1,0,0,0,0,0,0,0,1,4,2,0,1,1,4.16,0,0,0,NA,0,NA,1
"18","ALEX.CHIASSON","2017-04-15","CGY","R",10.14,1,0,0,0,0,0,0,0,0,2,3,0,0,2,5.92,0,0,0,NA,0,NA,0
"19","ALEX.CHIASSON","2017-04-13","CGY","R",11.8,2,1,1,0.09,1,0,0,0,0,2,4,0,0,0,10.17,5.08,5.08,0.47,9.3,5.08,NA,0
"20","ALEXEI.EMELIN","2017-04-22","MTL","D",14.38,1,1,1,0.06,0,0,0,0,0,1,2,0,0,1,4.17,4.17,4.17,0.27,6.39,0,NA,0
"21","ALEXEI.EMELIN","2017-04-20","MTL","D",18.95,3,2,1,0.03,0,0,0,1,0,7,4,1,0,3,9.5,6.33,3.17,0.08,1.31,0,NA,-1
"22","ALEX.GALCHENYUK","2017-04-22","MTL","C",11.87,5,1,1,0.03,0,0,0,0,1,1,2,2,3,1,25.27,5.05,5.05,0.17,3.39,0,NA,1
"23","ALEX.GALCHENYUK","2017-04-20","MTL","C",14.37,3,2,1,0.11,0,1,1,0,0,0,4,0,0,2,12.53,8.35,4.18,0.45,5.38,0,0.5,0
"24","ALEX.GALCHENYUK","2017-04-18","MTL","C",11.52,2,2,2,0.37,1,2,4,0,0,0,2,0,0,0,10.42,10.42,10.42,1.93,18.5,5.21,0.33,0
"25","ALEX.GALCHENYUK","2017-04-16","MTL","C",11.08,1,0,0,0,0,5,3,0,0,0,2,0,0,0,5.42,0,0,0,NA,0,0.62,0
"26","ALEX.GALCHENYUK","2017-04-14","MTL","C",15.54,5,5,2,0.44,1,1,2,0,0,0,3,0,1,1,19.31,19.31,7.72,1.69,8.75,3.86,0.33,0
"27","ALEX.GALCHENYUK","2017-04-12","MTL","C",10.49,4,4,3,0.22,1,0,0,0,0,0,1,3,0,0,22.88,22.88,17.16,1.23,5.38,5.72,NA,0
"28","ALEX.OVECHKIN","2017-04-27","WSH","L",17.01,5,4,2,0.15,0,0,0,1,0,6,1,0,0,0,17.64,14.11,7.05,0.54,3.85,0,NA,-1
"29","ALEX.OVECHKIN","2017-04-23","WSH","L",19.04,12,10,7,0.22,0,0,0,0,0,3,2,0,2,0,37.82,31.51,22.06,0.7,2.22,0,NA,0
"30","ALEX.OVECHKIN","2017-04-19","WSH","L",15.92,4,3,2,0.14,1,0,0,0,0,5,3,0,2,0,15.08,11.31,7.54,0.54,4.77,3.77,NA,0
