"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2016-10-13,1,39.02,30.59,38.59,-8,44.22,47.04,59.35,1.02,4.06,-3.04,20.1,1.57,6.24,1.76,1.7,0.06,50.82,2.7,2.62,3,5,2,6.04,75.59,81.62
"ANA",2016-10-15,1,50.75,45.06,39.21,5.84,53.47,53.27,46.36,0.8,2.04,-1.25,28.02,0.94,2.42,2.35,2.14,0.21,52.36,2.78,2.53,3,2,-1,2.95,93.48,96.43
"ANA",2016-10-16,1,44.87,27.83,38.63,-10.8,41.87,37.21,51.65,1.07,2.32,-1.25,31.58,1.43,3.1,0.4,1.91,-1.51,17.22,0.53,2.55,4,4,0,6.74,89.58,96.33
"ANA",2016-10-18,1,39.52,19.22,24.61,-5.39,43.85,29.18,37.37,0,0,0,NA,0,0,0.83,0.89,-0.05,48.5,1.27,1.35,6,5,-1,0,100,100
"ANA",2016-10-20,1,42.37,32.48,23.66,8.82,57.85,46,33.51,2.6,0.85,1.76,75.46,3.68,1.2,1.59,0.57,1.02,73.6,2.25,0.81,6,2,-4,14.02,93.77,107.79
"ANA",2016-10-23,1,51.05,56.58,27.03,29.55,67.67,66.5,31.77,3.3,0.79,2.51,80.76,3.88,0.92,2.89,0.94,1.95,75.42,3.4,1.11,2,2,0,11.36,93.95,105.31
"ANA",2016-10-25,1,46.05,27.95,41.49,-13.55,40.25,36.41,54.06,1,0.48,0.52,67.59,1.3,0.62,1.45,1.49,-0.04,49.37,1.89,1.94,4,4,0,8.88,97.95,106.84
"ANA",2016-10-26,1,46.57,36.65,36.89,-0.24,49.84,47.22,47.53,1.08,0,1.08,100,1.4,0,1.17,1.43,-0.26,44.98,1.5,1.84,5,4,-1,7.27,100,107.27
"ANA",2016-10-28,1,43.18,37.37,39.06,-1.69,48.89,51.92,54.27,0,2.88,-2.88,0,0,4,2.4,2.56,-0.15,48.46,3.34,3.55,6,4,-2,0,89.43,89.43
"ANA",2016-11-01,1,52.17,25.32,39.78,-14.47,38.89,29.12,45.76,1.67,0,1.67,100,1.92,0,0.91,1.71,-0.8,34.69,1.04,1.97,10,12,2,10.7,100,110.7
"ANA",2016-11-02,1,51.6,38.67,41.74,-3.07,48.09,44.96,48.53,0,3.89,-3.89,0,0,4.53,1.44,2.69,-1.24,34.92,1.68,3.12,4,4,0,0,85.24,85.24
"ANA",2016-11-04,1,54.52,46.96,28.81,18.15,61.98,51.68,31.71,4.15,0.8,3.34,83.79,4.56,0.88,2.85,1.35,1.5,67.86,3.13,1.48,3,4,1,13.99,95.08,109.08
"ANA",2016-11-06,1,53.07,30.37,38.07,-7.7,44.38,34.34,43.04,1.97,0.67,1.3,74.68,2.22,0.75,1.14,1.15,-0.01,49.76,1.29,1.3,7,8,1,12.7,96.69,109.39
"ANA",2016-11-09,1,48.73,33.06,28.53,4.53,53.68,40.7,35.12,1.9,2.45,-0.55,43.69,2.34,3.02,1.36,1.55,-0.19,46.74,1.68,1.91,3,1,-2,9.74,81.92,91.66
"ANA",2016-11-10,1,48.55,28.01,42.19,-14.18,39.9,34.62,52.14,2.74,1.68,1.06,61.93,3.39,2.08,1.59,1.33,0.26,54.49,1.97,1.64,3,4,1,15.94,92.4,108.34
"ANA",2016-11-12,1,42.43,27.94,33.33,-5.39,45.6,39.5,47.13,0,2.77,-2.77,0,0,3.91,1.36,1.74,-0.39,43.75,1.92,2.47,5,6,1,0,86.54,86.54
"ANA",2016-11-15,1,47.85,30.08,45.52,-15.44,39.79,37.72,57.07,2.73,0.8,1.93,77.31,3.42,1,1.42,2.43,-1.02,36.83,1.78,3.05,4,5,1,15.41,96.78,112.19
"ANA",2016-11-17,1,48.5,34.39,40.07,-5.68,46.18,42.54,49.57,3.09,1.8,1.29,63.14,3.82,2.23,2.05,1.54,0.52,57.22,2.54,1.9,3,2,-1,17.11,90.58,107.7
"ANA",2016-11-20,1,44,35.36,31.74,3.62,52.7,48.21,43.28,0.71,0.82,-0.11,46.47,0.97,1.12,1.15,1.03,0.11,52.58,1.56,1.41,3,7,4,4.42,95.77,100.19
"ANA",2016-11-22,1,53.07,55.64,31.45,24.19,63.89,62.91,35.56,0.83,0.84,-0.01,49.63,0.94,0.95,2.12,1.52,0.6,58.19,2.39,1.72,5,1,-4,2.53,94.68,97.21
"ANA",2016-11-25,1,51.93,44.44,32.28,12.17,57.93,51.35,37.29,2.33,2.07,0.25,52.87,2.69,2.4,2.12,1.45,0.67,59.37,2.44,1.67,2,2,0,9.32,89.66,98.98
"ANA",2016-11-26,1,53.37,47.28,43.09,4.19,52.32,53.15,48.45,1.87,0.77,1.1,70.82,2.11,0.87,2.08,0.94,1.14,68.82,2.33,1.06,2,1,-1,7.91,94.6,102.52
"ANA",2016-11-29,1,47.05,44.94,47.87,-2.93,48.42,57.31,61.04,1.07,0,1.07,100,1.37,0,2.01,2.68,-0.68,42.78,2.56,3.42,3,3,0,4.26,100,104.26
"ANA",2016-12-01,1,51.35,37.51,33.49,4.02,52.83,43.83,39.13,2.6,1.15,1.46,69.42,3.04,1.34,1.16,0.83,0.32,58.12,1.35,0.97,2,1,-1,13.7,93.54,107.24
"ANA",2016-12-03,1,56.83,45.43,50.48,-5.05,47.37,47.96,53.29,0.88,1.49,-0.61,37.07,0.92,1.57,1.42,1.93,-0.51,42.42,1.5,2.04,3,2,-1,3.4,94.76,98.16
"ANA",2016-12-04,1,47.65,28.48,33.82,-5.34,45.71,35.86,42.58,1.93,4.85,-2.92,28.49,2.43,6.11,1.37,2.26,-0.89,37.7,1.72,2.85,5,5,0,10.32,75.08,85.39
