"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2017-10-05,1,60,52.78,58.34,-5.56,47.5,52.78,58.34,5.11,2.58,2.53,66.45,5.11,2.58,2.99,3.01,-0.02,49.86,2.99,3.01,5,4,-1,15.99,92.21,108.2
"ANA",2017-10-07,1,60.73,47.1,45.31,1.78,50.97,46.53,44.76,3.33,2.07,1.26,61.64,3.29,2.05,2.06,1.65,0.42,55.61,2.04,1.63,6,3,-3,13.83,92.78,106.62
"ANA",2017-10-09,1,60,61.57,57.43,4.14,51.74,61.57,57.43,0,0.96,-0.96,0,0,0.96,2.92,3.06,-0.15,48.79,2.92,3.06,5,6,1,0,96.38,96.38
"ANA",2017-10-11,1,60,48.95,55.55,-6.6,46.84,48.95,55.55,2.6,1.82,0.78,58.84,2.6,1.82,2.07,2.98,-0.91,41.04,2.07,2.98,5,4,-1,10.54,93.99,104.52
"ANA",2017-10-13,1,60,33.35,67.89,-34.54,32.94,33.35,67.89,2.38,1.11,1.27,68.22,2.38,1.11,1.07,1.94,-0.87,35.46,1.07,1.94,8,2,-6,13.37,96.55,109.92
"ANA",2017-10-15,1,60,51.25,53.06,-1.82,49.13,51.25,53.06,2.68,2.47,0.21,52.07,2.68,2.47,2.04,2.02,0.02,50.25,2.04,2.02,3,4,1,10.51,91.84,102.35
"ANA",2017-10-20,1,60,69.61,63.33,6.28,52.36,69.61,63.33,4.91,1.45,3.45,77.13,4.91,1.45,3.71,3.78,-0.07,49.53,3.71,3.78,9,7,-2,10.31,96.52,106.84
"ANA",2017-10-24,1,60,53.75,46.42,7.33,53.66,53.75,46.42,5.24,2.09,3.15,71.47,5.24,2.09,1.71,2.63,-0.91,39.47,1.71,2.63,9,7,-2,21.32,92.85,114.17
"ANA",2017-10-26,1,60,45.25,35,10.25,56.39,45.25,35,2.32,8.89,-6.57,20.69,2.32,8.89,2.49,3.21,-0.72,43.68,2.49,3.21,4,4,0,9.13,61.46,70.58
"ANA",2017-10-28,1,60,45.46,44.01,1.45,50.81,45.46,44.01,2.34,1.1,1.24,68.1,2.34,1.1,1.24,1.46,-0.23,45.78,1.24,1.46,4,2,-2,10.52,95.66,106.18
"ANA",2017-10-29,1,65,46.87,69.17,-22.3,40.39,43.26,63.85,3.21,2.5,0.71,56.22,2.97,2.31,2.05,3.93,-1.88,34.25,1.89,3.63,3,0,-3,12.86,91.85,104.71
"ANA",2017-11-01,1,60,44.55,46.46,-1.91,48.95,44.55,46.46,1.09,3.34,-2.25,24.59,1.09,3.34,1.38,2.61,-1.23,34.53,1.38,2.61,2,4,2,4.58,87.24,91.82
"ANA",2017-11-03,1,60,70.83,61.34,9.49,53.59,70.83,61.34,2.05,3.49,-1.44,36.99,2.05,3.49,3.63,2.36,1.27,60.57,3.63,2.36,4,4,0,5.09,87.55,92.64
"ANA",2017-11-04,1,65,58.99,65.02,-6.02,47.57,54.46,60.02,0.98,1.07,-0.09,47.74,0.9,0.99,1.71,3.82,-2.11,30.94,1.58,3.53,3,1,-2,3.22,97.31,100.52
"ANA",2017-11-07,1,63.85,60.54,64.16,-3.61,48.55,56.89,60.29,3.08,2.47,0.61,55.51,2.89,2.32,3.06,2.95,0.11,50.88,2.88,2.78,9,8,-1,8.88,94.05,102.93
"ANA",2017-11-09,1,60,81.08,30.37,50.71,72.75,81.08,30.37,2.28,0.83,1.45,73.25,2.28,0.83,3.45,1.17,2.28,74.69,3.45,1.17,6,8,2,5.94,94.96,100.9
"ANA",2017-11-12,1,60,52.15,62.98,-10.83,45.29,52.15,62.98,0.83,1.4,-0.57,37.31,0.83,1.4,2.05,3.58,-1.53,36.43,2.05,3.58,2,1,-1,3.46,95.62,99.08
"ANA",2017-11-15,1,60,53.78,54.45,-0.68,49.69,53.78,54.45,3.83,1.61,2.22,70.44,3.83,1.61,3.36,2.99,0.37,52.94,3.36,2.99,2,0,-2,13.29,95.35,108.65
"ANA",2017-11-19,1,60,63.45,67.2,-3.75,48.57,63.45,67.2,1.91,0.84,1.06,69.36,1.91,0.84,3.08,3.33,-0.25,48.04,3.08,3.33,8,6,-2,6.01,97.9,103.91
"ANA",2017-11-20,1,65,37.27,64.37,-27.11,36.66,34.4,59.42,1.61,1.46,0.15,52.52,1.49,1.35,2.49,2.8,-0.31,47.08,2.3,2.58,3,2,-1,6.69,95.77,102.46
"ANA",2017-11-22,1,60,35.1,55.68,-20.59,38.66,35.1,55.68,1.43,3.05,-1.62,31.93,1.43,3.05,1.86,3.05,-1.19,37.85,1.86,3.05,4,5,1,8.04,91.77,99.82
"ANA",2017-11-24,1,60,66.34,52.81,13.52,55.67,66.34,52.81,0.85,2.21,-1.36,27.86,0.85,2.21,3.21,2.72,0.49,54.11,3.21,2.72,4,3,-1,2.69,93.12,95.81
"ANA",2017-11-25,1,65,41.52,60.72,-19.2,40.61,38.32,56.05,1.04,0.47,0.57,68.8,0.96,0.43,2.17,1.92,0.25,53.04,2,1.77,7,5,-2,4.22,98.52,102.75
"ANA",2017-11-27,1,60,36.66,62.6,-25.94,36.93,36.66,62.6,2.38,5.47,-3.09,30.33,2.38,5.47,1.56,4.05,-2.49,27.81,1.56,4.05,5,4,-1,10.69,83.44,94.13
"ARI",2017-10-05,1,60,58.34,52.78,5.56,52.5,58.34,52.78,2.58,5.11,-2.53,33.55,2.58,5.11,3.01,2.99,0.02,50.14,3.01,2.99,4,5,1,7.79,84.01,91.8
"ARI",2017-10-07,1,62.67,50.9,62.34,-11.44,44.95,48.73,59.69,0.88,0.39,0.49,69.03,0.84,0.38,2.43,2.54,-0.11,48.87,2.32,2.43,4,3,-1,3.84,98.87,102.71
"ARI",2017-10-10,1,60,45.18,48.65,-3.47,48.15,45.18,48.65,1.6,4.34,-2.74,26.91,1.6,4.34,2.07,1.53,0.55,57.58,2.07,1.53,3,3,0,6.01,83.81,89.82
"ARI",2017-10-12,1,60,49.67,57.56,-7.89,46.32,49.67,57.56,1.41,3.82,-2.42,26.9,1.41,3.82,2.04,1.78,0.27,53.51,2.04,1.78,4,7,3,5.07,89.36,94.43
"ARI",2017-10-14,1,60,56.48,53.81,2.67,51.21,56.48,53.81,1.04,4.84,-3.8,17.66,1.04,4.84,2,2.46,-0.47,44.78,2,2.46,3,3,0,3.82,82.74,86.56
"ARI",2017-10-17,1,60,39.84,54.4,-14.56,42.27,39.84,54.4,0.91,2.05,-1.14,30.71,0.91,2.05,2.07,3.35,-1.28,38.16,2.07,3.35,2,3,1,4.21,93.84,98.06
"ARI",2017-10-19,1,60,44.27,50.86,-6.59,46.54,44.27,50.86,3.1,4.14,-1.04,42.83,3.1,4.14,2.4,2.88,-0.48,45.44,2.4,2.88,2,4,2,12.12,85.93,98.05
"ARI",2017-10-21,1,60,54.59,55.1,-0.51,49.77,54.59,55.1,1.95,2.16,-0.21,47.4,1.95,2.16,2.46,2.57,-0.12,48.84,2.46,2.57,5,6,1,7.53,91.45,98.98
