"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2016-10-13,1,60,54.38,44.71,9.67,54.88,54.38,44.71,3.42,4.06,-0.64,45.73,3.42,4.06,4.42,1.97,2.45,69.22,4.42,1.97,4,5,1,10.08,78.55,88.63
"ANA",2016-10-15,1,60,47.31,47.34,-0.03,49.98,47.31,47.34,0.92,2.4,-1.48,27.77,0.92,2.4,2.46,2.59,-0.14,48.66,2.46,2.59,3,3,0,3.2,93.31,96.51
"ANA",2016-10-16,1,60.9,38.82,44.9,-6.07,46.37,38.25,44.23,1.67,2.32,-0.65,41.85,1.65,2.29,0.76,2.25,-1.49,25.21,0.75,2.22,5,5,0,8.24,90.73,98.97
"ANA",2016-10-18,1,60,37.79,35.38,2.4,51.64,37.79,35.38,0.35,0.86,-0.51,28.67,0.35,0.86,2.77,1.42,1.35,66.14,2.77,1.42,8,6,-2,1.6,95.91,97.51
"ANA",2016-10-20,1,60,38.56,36.02,2.54,51.7,38.56,36.02,2.6,1.21,1.4,68.34,2.6,1.21,1.96,0.88,1.08,68.99,1.96,0.88,8,3,-5,11.85,93.14,104.99
"ANA",2016-10-23,1,60,67.55,34.02,33.53,66.51,67.55,34.02,3.81,3.12,0.69,54.97,3.81,3.12,3.57,1.55,2.02,69.78,3.57,1.55,2,2,0,11.09,81.85,92.94
"ANA",2016-10-25,1,61.4,36.49,54.87,-18.38,39.94,35.66,53.61,1,0.85,0.15,54.1,0.98,0.83,1.84,2.39,-0.55,43.45,1.79,2.34,6,5,-1,5.76,97.14,102.9
"ANA",2016-10-26,1,60,64.98,49.65,15.33,56.69,64.98,49.65,6.55,0.32,6.23,95.32,6.55,0.32,3.51,1.89,1.62,65,3.51,1.89,5,4,-1,22.52,98.46,120.98
"ANA",2016-10-28,1,60,50.58,63.45,-12.87,44.36,50.58,63.45,0,3.23,-3.23,0,0,3.23,3.11,5.34,-2.23,36.82,3.11,5.34,7,6,-1,0,91.93,91.93
"ANA",2016-11-01,1,60,29.91,41.35,-11.44,41.97,29.91,41.35,2.46,0,2.46,100,2.46,0,1.19,1.77,-0.58,40.18,1.19,1.77,10,12,2,13.77,100,113.77
"ANA",2016-11-02,1,60,46.61,46.7,-0.09,49.95,46.61,46.7,0.36,4.29,-3.92,7.84,0.36,4.29,1.75,2.91,-1.16,37.58,1.75,2.91,6,5,-1,1.33,85.29,86.62
"ANA",2016-11-04,1,60,48.97,35.31,13.66,58.1,48.97,35.31,4.62,0.8,3.82,85.21,4.62,0.8,3.09,1.45,1.64,68.09,3.09,1.45,3,4,1,15.24,95.8,111.05
"ANA",2016-11-06,1,60,44.17,43.92,0.24,50.14,44.17,43.92,2.66,0.67,2,79.98,2.66,0.67,2.08,1.23,0.85,62.87,2.08,1.23,7,8,1,10.38,96.91,107.29
"ANA",2016-11-09,1,61.35,42.94,42.53,0.41,50.24,42,41.59,1.9,2.45,-0.55,43.69,1.86,2.4,1.87,1.78,0.09,51.24,1.83,1.74,3,3,0,7.96,86.4,94.36
